task,model,draw,N,corpus,map_hash,status,prerequisite,command,next_validation,source,source_sha256
T3,llama8b,seed0,32,wiki,,blocked_retry_limit,"Verified historical full seed0 per-sequence scores or complete child covariance, or an externally resolved exact-reproduction discrepancy and a new explicit user decision. No fifth calibration attempt is authorized; do not use mismatching parents.",,Exact N8/N16 calibration anchor then parent derivation required,,
T3,llama8b,seed0,32,c4,,blocked_retry_limit,"Verified historical full seed0 per-sequence scores or complete child covariance, or an externally resolved exact-reproduction discrepancy and a new explicit user decision. No fifth calibration attempt is authorized; do not use mismatching parents.",,Exact N8/N16 calibration anchor then parent derivation required,,
T3,llama8b,seed0,64,wiki,,blocked_retry_limit,"Verified historical full seed0 per-sequence scores or complete child covariance, or an externally resolved exact-reproduction discrepancy and a new explicit user decision. No fifth calibration attempt is authorized; do not use mismatching parents.",,Exact N8/N16 calibration anchor then parent derivation required,,
T3,llama8b,seed0,64,c4,,blocked_retry_limit,"Verified historical full seed0 per-sequence scores or complete child covariance, or an externally resolved exact-reproduction discrepancy and a new explicit user decision. No fifth calibration attempt is authorized; do not use mismatching parents.",,Exact N8/N16 calibration anchor then parent derivation required,,
T3,llama8b,seed0,128,wiki,,blocked_retry_limit,"Verified historical full seed0 per-sequence scores or complete child covariance, or an externally resolved exact-reproduction discrepancy and a new explicit user decision. No fifth calibration attempt is authorized; do not use mismatching parents.",,Exact N8/N16 calibration anchor then parent derivation required,,
T3,llama8b,seed0,128,c4,,blocked_retry_limit,"Verified historical full seed0 per-sequence scores or complete child covariance, or an externally resolved exact-reproduction discrepancy and a new explicit user decision. No fifth calibration attempt is authorized; do not use mismatching parents.",,Exact N8/N16 calibration anchor then parent derivation required,,
T3,llama8b,seed0,256,wiki,,blocked_retry_limit,"Verified historical full seed0 per-sequence scores or complete child covariance, or an externally resolved exact-reproduction discrepancy and a new explicit user decision. No fifth calibration attempt is authorized; do not use mismatching parents.",,Exact N8/N16 calibration anchor then parent derivation required,,
T3,llama8b,seed0,256,c4,,blocked_retry_limit,"Verified historical full seed0 per-sequence scores or complete child covariance, or an externally resolved exact-reproduction discrepancy and a new explicit user decision. No fifth calibration attempt is authorized; do not use mismatching parents.",,Exact N8/N16 calibration anchor then parent derivation required,,
T3,qwen4b,seed0,32,wiki,0fe79063aea58780bdfd322380cab4809f1c0d763f5d276b240d22c128c80be6,validated_new,Complete and admitted; do not rerun,,Hash/map/token/runtime identity; paired natural-cluster inference,research_runs/mixfp4_selector_characterization_20260921T133858Z/runs/granularity_qwen4b_attempt4_authorized/ppl/ppl_report.json,d9acb2bbfc02f5cbfe5aee192899d1a0f494c1d6661e1bf6798d4757d5e20d2e
T3,qwen4b,seed0,32,c4,0fe79063aea58780bdfd322380cab4809f1c0d763f5d276b240d22c128c80be6,validated_new,Complete and admitted; do not rerun,,Hash/map/token/runtime identity; paired natural-cluster inference,research_runs/mixfp4_selector_characterization_20260921T133858Z/runs/granularity_qwen4b_attempt4_authorized/ppl/ppl_report.json,d9acb2bbfc02f5cbfe5aee192899d1a0f494c1d6661e1bf6798d4757d5e20d2e
T3,qwen4b,seed0,64,wiki,7c449f7a96107b9a08fabd30dda71f8ed0b74d28f0470bc2499be56c77c4c800,validated_new,Complete and admitted; do not rerun,,Hash/map/token/runtime identity; paired natural-cluster inference,research_runs/mixfp4_selector_characterization_20260921T133858Z/runs/granularity_qwen4b_attempt4_authorized/ppl/ppl_report.json,d9acb2bbfc02f5cbfe5aee192899d1a0f494c1d6661e1bf6798d4757d5e20d2e
T3,qwen4b,seed0,64,c4,7c449f7a96107b9a08fabd30dda71f8ed0b74d28f0470bc2499be56c77c4c800,validated_new,Complete and admitted; do not rerun,,Hash/map/token/runtime identity; paired natural-cluster inference,research_runs/mixfp4_selector_characterization_20260921T133858Z/runs/granularity_qwen4b_attempt4_authorized/ppl/ppl_report.json,d9acb2bbfc02f5cbfe5aee192899d1a0f494c1d6661e1bf6798d4757d5e20d2e
T3,qwen4b,seed0,128,wiki,61bbddb84329b65356d42fff5b7fa4a293c43848aab0c8667f912ad293620330,validated_new,Complete and admitted; do not rerun,,Hash/map/token/runtime identity; paired natural-cluster inference,research_runs/mixfp4_selector_characterization_20260921T133858Z/runs/granularity_qwen4b_attempt4_authorized/ppl/ppl_report.json,d9acb2bbfc02f5cbfe5aee192899d1a0f494c1d6661e1bf6798d4757d5e20d2e
T3,qwen4b,seed0,128,c4,61bbddb84329b65356d42fff5b7fa4a293c43848aab0c8667f912ad293620330,validated_new,Complete and admitted; do not rerun,,Hash/map/token/runtime identity; paired natural-cluster inference,research_runs/mixfp4_selector_characterization_20260921T133858Z/runs/granularity_qwen4b_attempt4_authorized/ppl/ppl_report.json,d9acb2bbfc02f5cbfe5aee192899d1a0f494c1d6661e1bf6798d4757d5e20d2e
T3,qwen4b,seed0,256,wiki,ff0046373df80d11356d89caf0df422beca148747c82ecbcee154e38623c52a5,validated_new,Complete and admitted; do not rerun,,Hash/map/token/runtime identity; paired natural-cluster inference,research_runs/mixfp4_selector_characterization_20260921T133858Z/runs/granularity_qwen4b_attempt4_authorized/ppl/ppl_report.json,d9acb2bbfc02f5cbfe5aee192899d1a0f494c1d6661e1bf6798d4757d5e20d2e
T3,qwen4b,seed0,256,c4,ff0046373df80d11356d89caf0df422beca148747c82ecbcee154e38623c52a5,validated_new,Complete and admitted; do not rerun,,Hash/map/token/runtime identity; paired natural-cluster inference,research_runs/mixfp4_selector_characterization_20260921T133858Z/runs/granularity_qwen4b_attempt4_authorized/ppl/ppl_report.json,d9acb2bbfc02f5cbfe5aee192899d1a0f494c1d6661e1bf6798d4757d5e20d2e
T3,mistral7b,seed0,32,wiki,,blocked_retry_limit,"Verified historical full seed0 per-sequence scores or complete child covariance, or an externally resolved exact-reproduction discrepancy and a new explicit user decision. No fifth calibration attempt is authorized; do not use mismatching parents.",,Exact N8/N16 calibration anchor then parent derivation required,,
T3,mistral7b,seed0,32,c4,,blocked_retry_limit,"Verified historical full seed0 per-sequence scores or complete child covariance, or an externally resolved exact-reproduction discrepancy and a new explicit user decision. No fifth calibration attempt is authorized; do not use mismatching parents.",,Exact N8/N16 calibration anchor then parent derivation required,,
T3,mistral7b,seed0,64,wiki,,blocked_retry_limit,"Verified historical full seed0 per-sequence scores or complete child covariance, or an externally resolved exact-reproduction discrepancy and a new explicit user decision. No fifth calibration attempt is authorized; do not use mismatching parents.",,Exact N8/N16 calibration anchor then parent derivation required,,
T3,mistral7b,seed0,64,c4,,blocked_retry_limit,"Verified historical full seed0 per-sequence scores or complete child covariance, or an externally resolved exact-reproduction discrepancy and a new explicit user decision. No fifth calibration attempt is authorized; do not use mismatching parents.",,Exact N8/N16 calibration anchor then parent derivation required,,
