model,draw,N,corpus,status,backend_status,map_hash,blocker,source,source_sha256,nll,ppl,delta_nll_vs_baseline,relative_ppl,ci_low,ci_high,nll_gap_vs_n8,gain_retention,retention_status,n8_gain_ci_low,n8_gain_ci_high,cluster_count,bootstrap_repeats,bootstrap_seed,retention_ci_low,retention_ci_high,nonpositive_bootstrap_denominators
llama8b,seed0,32,wiki,blocked_retry_limit,analytical_only,,"Verified historical full seed0 per-sequence scores or complete child covariance, or an externally resolved exact-reproduction discrepancy and a new explicit user decision. No fifth calibration attempt is authorized; do not use mismatching parents.",,,,,,,,,,,,,,,,,,,
llama8b,seed0,64,wiki,blocked_retry_limit,analytical_only,,"Verified historical full seed0 per-sequence scores or complete child covariance, or an externally resolved exact-reproduction discrepancy and a new explicit user decision. No fifth calibration attempt is authorized; do not use mismatching parents.",,,,,,,,,,,,,,,,,,,
llama8b,seed0,128,wiki,blocked_retry_limit,analytical_only,,"Verified historical full seed0 per-sequence scores or complete child covariance, or an externally resolved exact-reproduction discrepancy and a new explicit user decision. No fifth calibration attempt is authorized; do not use mismatching parents.",,,,,,,,,,,,,,,,,,,
llama8b,seed0,256,wiki,blocked_retry_limit,analytical_only,,"Verified historical full seed0 per-sequence scores or complete child covariance, or an externally resolved exact-reproduction discrepancy and a new explicit user decision. No fifth calibration attempt is authorized; do not use mismatching parents.",,,,,,,,,,,,,,,,,,,
llama8b,seed0,8,wiki,validated_reuse,software_emulated,2171daa1b435de26291984d8b5be263b7f3ef2fa341b9cf75c7b6cb9dacc7d66,,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V31_ppl_primary_llama8b_attempt1/ppl/ppl_report.json,8271ae214b17f2d54e549d842c91dc2f682d977111e07edc9cbd8ecc0f718b9c,1.9229903457778617,6.841386021149876,-0.004959584716009102,-0.004947306282761386,-0.006503899762652904,-0.0036556746763836035,0.0,1.0,defined; no clipping,0.003655674676383602,0.006503899762652902,53,2000,20260921,1.0,1.0,0
llama8b,seed0,16,wiki,validated_reuse,software_emulated,0920f55ddc053a5f5a8b0d046d0b74a62d4abafcad5e36051d7682da961e1f2b,,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V31_ppl_primary_llama8b_attempt1/ppl/ppl_report.json,8271ae214b17f2d54e549d842c91dc2f682d977111e07edc9cbd8ecc0f718b9c,1.923260914836621,6.843237338969594,-0.004689015657249662,-0.004678039386003561,-0.006311991017131141,-0.003182653017413834,0.00027056905875944004,0.9454452188534925,defined; no clipping,0.003655674676383602,0.006503899762652902,53,2000,20260921,0.6988679735703227,1.202624946845258,0
llama8b,seed0,32,c4,blocked_retry_limit,analytical_only,,"Verified historical full seed0 per-sequence scores or complete child covariance, or an externally resolved exact-reproduction discrepancy and a new explicit user decision. No fifth calibration attempt is authorized; do not use mismatching parents.",,,,,,,,,,,,,,,,,,,
llama8b,seed0,64,c4,blocked_retry_limit,analytical_only,,"Verified historical full seed0 per-sequence scores or complete child covariance, or an externally resolved exact-reproduction discrepancy and a new explicit user decision. No fifth calibration attempt is authorized; do not use mismatching parents.",,,,,,,,,,,,,,,,,,,
llama8b,seed0,128,c4,blocked_retry_limit,analytical_only,,"Verified historical full seed0 per-sequence scores or complete child covariance, or an externally resolved exact-reproduction discrepancy and a new explicit user decision. No fifth calibration attempt is authorized; do not use mismatching parents.",,,,,,,,,,,,,,,,,,,
llama8b,seed0,256,c4,blocked_retry_limit,analytical_only,,"Verified historical full seed0 per-sequence scores or complete child covariance, or an externally resolved exact-reproduction discrepancy and a new explicit user decision. No fifth calibration attempt is authorized; do not use mismatching parents.",,,,,,,,,,,,,,,,,,,
llama8b,seed0,8,c4,validated_reuse,software_emulated,2171daa1b435de26291984d8b5be263b7f3ef2fa341b9cf75c7b6cb9dacc7d66,,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V31_ppl_primary_llama8b_attempt1/ppl/ppl_report.json,8271ae214b17f2d54e549d842c91dc2f682d977111e07edc9cbd8ecc0f718b9c,2.279957583163179,9.776265722466244,-0.005009989963318251,-0.004997460895835381,-0.007249151435986511,-0.003135942788854918,0.0,1.0,defined; no clipping,0.0031359427888549172,0.007249151435986511,231,2000,20260921,1.0,1.0,0
llama8b,seed0,16,c4,validated_reuse,software_emulated,0920f55ddc053a5f5a8b0d046d0b74a62d4abafcad5e36051d7682da961e1f2b,,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V31_ppl_primary_llama8b_attempt1/ppl/ppl_report.json,8271ae214b17f2d54e549d842c91dc2f682d977111e07edc9cbd8ecc0f718b9c,2.279946971868065,9.776161984175948,-0.0050206012584324,-0.005008019105398905,-0.006687402115919006,-0.0034885819705133604,-1.0611295114149044e-05,1.0021180272199828,defined; no clipping,0.0031359427888549172,0.007249151435986511,231,2000,20260921,0.7418751886597602,1.4150945160040103,0
