model,draw,policy,task,metric,value,status,source,source_sha256,map_hash,num_fewshot,lm_eval_version,paired_ci,reason,samples,delta_vs_baseline,uncertainty
llama8b,seed0,baseline,arc_easy,acc_norm,0.803030303030303,sealed_report_reuse,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V32_acc_full8_llama8b_four_over_six_attempt1/lmeval/lmeval_report.json,3e38607b1d748295a490ab25be40d4983b80867561062c1647c11e3e8ee2d262,,0,0.4.11,not recomputed; no CI fabricated from aggregates,,,,
llama8b,seed0,baseline,arc_challenge,acc_norm,0.5255972696245734,sealed_report_reuse,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V32_acc_full8_llama8b_four_over_six_attempt1/lmeval/lmeval_report.json,3e38607b1d748295a490ab25be40d4983b80867561062c1647c11e3e8ee2d262,,0,0.4.11,not recomputed; no CI fabricated from aggregates,,,,
llama8b,seed0,baseline,hellaswag,acc_norm,0.7814180442143,sealed_report_reuse,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V32_acc_full8_llama8b_four_over_six_attempt1/lmeval/lmeval_report.json,3e38607b1d748295a490ab25be40d4983b80867561062c1647c11e3e8ee2d262,,0,0.4.11,not recomputed; no CI fabricated from aggregates,,,,
llama8b,seed0,baseline,openbookqa,acc_norm,0.456,sealed_report_reuse,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V32_acc_full8_llama8b_four_over_six_attempt1/lmeval/lmeval_report.json,3e38607b1d748295a490ab25be40d4983b80867561062c1647c11e3e8ee2d262,,0,0.4.11,not recomputed; no CI fabricated from aggregates,,,,
llama8b,seed0,baseline,boolq,acc,0.8137614678899082,sealed_report_reuse,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V32_acc_full8_llama8b_four_over_six_attempt1/lmeval/lmeval_report.json,3e38607b1d748295a490ab25be40d4983b80867561062c1647c11e3e8ee2d262,,0,0.4.11,not recomputed; no CI fabricated from aggregates,,,,
llama8b,seed0,baseline,winogrande,acc,0.7190213101815311,sealed_report_reuse,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V32_acc_full8_llama8b_four_over_six_attempt1/lmeval/lmeval_report.json,3e38607b1d748295a490ab25be40d4983b80867561062c1647c11e3e8ee2d262,,0,0.4.11,not recomputed; no CI fabricated from aggregates,,,,
llama8b,seed0,baseline,piqa,acc_norm,0.7965179542981502,sealed_report_reuse,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V32_acc_full8_llama8b_four_over_six_attempt1/lmeval/lmeval_report.json,3e38607b1d748295a490ab25be40d4983b80867561062c1647c11e3e8ee2d262,,0,0.4.11,not recomputed; no CI fabricated from aggregates,,,,
llama8b,seed0,baseline,mmlu,acc,0.6105967810853155,sealed_report_reuse,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V32_acc_full8_llama8b_four_over_six_attempt1/lmeval/lmeval_report.json,3e38607b1d748295a490ab25be40d4983b80867561062c1647c11e3e8ee2d262,,0,0.4.11,not recomputed; no CI fabricated from aggregates,,,,
llama8b,seed0,joint,arc_easy,acc_norm,0.8026094276094277,sealed_report_reuse,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V32_acc_full8_llama8b_n16_k3_attempt1/lmeval/lmeval_report.json,e2e9f49a8810e2caedb7ff287f2eee998fa0014402261339e6c2a8a50cbad97a,0920f55ddc053a5f5a8b0d046d0b74a62d4abafcad5e36051d7682da961e1f2b,0,0.4.11,not recomputed; no CI fabricated from aggregates,,,,
llama8b,seed0,joint,arc_challenge,acc_norm,0.53839590443686,sealed_report_reuse,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V32_acc_full8_llama8b_n16_k3_attempt1/lmeval/lmeval_report.json,e2e9f49a8810e2caedb7ff287f2eee998fa0014402261339e6c2a8a50cbad97a,0920f55ddc053a5f5a8b0d046d0b74a62d4abafcad5e36051d7682da961e1f2b,0,0.4.11,not recomputed; no CI fabricated from aggregates,,,,
